Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Rice,High,76,Cloudy,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,86,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,16,Rainy,None,Barley requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,100,Cloudy,Moderate,Sugarcane requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,53,Sunny,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,87,Rainy,Severe,Maize requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,89,Rainy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,69,Windy,Severe,Maize requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Wheat,Low,111,Windy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Medium,43,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,113,Cloudy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,87,Rainy,Mild,Groundnut requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,53,Sunny,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Medium,5,Rainy,Severe,Millets requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,78,Windy,Severe,Wheat requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Wheat,Low,119,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,117,Rainy,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,119,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,110,Sunny,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,66,Cloudy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,44,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,98,Windy,None,Cotton requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Millets,Low,27,Rainy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,20,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,26,Cloudy,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,91,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,87,Rainy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,70,Rainy,Mild,Groundnut requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,115,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,70,Cloudy,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,8,Windy,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Low,20,Windy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,Low,76,Cloudy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,83,Rainy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,68,Rainy,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,68,Windy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Medium,8,Windy,None,Millets requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Millets,High,63,Windy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Wheat,Medium,40,Windy,Severe,Wheat requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Millets,Medium,116,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,44,Windy,None,Sugarcane requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Rice,Low,117,Cloudy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,92,Cloudy,Mild,Rice requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,42,Sunny,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,82,Windy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Maize,High,9,Rainy,Severe,Maize requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,57,Cloudy,Mild,Barley requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,15,Rainy,Severe,Groundnut requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,72,Sunny,Mild,Cotton requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,64,Windy,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,58,Cloudy,Severe,Sugarcane requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,24,Rainy,Severe,Barley requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,26,Cloudy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,68,Rainy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,70,Cloudy,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,78,Cloudy,Severe,Millets requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,112,Cloudy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,43,Rainy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,68,Cloudy,Moderate,Groundnut requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,96,Sunny,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,71,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Medium,88,Windy,Severe,Cotton requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,High,30,Windy,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Wheat,Low,44,Windy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,Low,116,Sunny,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,15,Windy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,Medium,35,Cloudy,Moderate,Cotton requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,114,Sunny,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,35,Cloudy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,50,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,58,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,81,Cloudy,None,Groundnut requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,89,Windy,Severe,Cotton requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,High,41,Windy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Medium,26,Windy,Moderate,Millets requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Low,64,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,69,Sunny,Moderate,Rice requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,72,Cloudy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,41,Rainy,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,87,Rainy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,77,Sunny,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,17,Sunny,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Low,79,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,30,Sunny,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,72,Rainy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,55,Cloudy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,78,Sunny,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,54,Windy,Mild,Barley requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Barley,Low,68,Windy,None,Barley requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,Medium,31,Sunny,Severe,Rice requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Medium,63,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,13,Windy,Moderate,Cotton requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Rice,High,92,Sunny,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,106,Windy,Moderate,Barley requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Low,55,Cloudy,Mild,Cotton requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,87,Windy,Severe,Maize requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,Low,1,Rainy,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,106,Windy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,5,Cloudy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,32,Windy,Moderate,Wheat requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Wheat,High,67,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Low,78,Rainy,Severe,Maize requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,37,Cloudy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,13,Sunny,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Low,45,Cloudy,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,112,Cloudy,Mild,Groundnut requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,81,Sunny,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,35,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,114,Rainy,Mild,Rice requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,54,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Barley,Medium,111,Cloudy,Mild,Barley requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,82,Rainy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,34,Rainy,None,Millets requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,101,Windy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,Medium,85,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,76,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,51,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Maize,Medium,86,Cloudy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,99,Rainy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,107,Sunny,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,103,Windy,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Medium,64,Sunny,None,Wheat requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,38,Cloudy,None,Rice requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,74,Cloudy,Moderate,Maize requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,12,Rainy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,13,Sunny,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,103,Sunny,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Medium,61,Sunny,None,Cotton requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,30,Windy,Mild,Maize requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Medium,91,Rainy,None,Cotton requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,37,Cloudy,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,60,Sunny,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,52,Cloudy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,26,Rainy,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,54,Sunny,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,45,Windy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Low,87,Rainy,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,40,Windy,None,Wheat requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Millets,Medium,24,Windy,None,Millets requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,High,34,Cloudy,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,13,Sunny,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,120,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,27,Windy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Low,53,Windy,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Low,83,Cloudy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,89,Windy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,Medium,20,Cloudy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,16,Windy,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,High,69,Windy,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,High,80,Sunny,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Medium,20,Windy,Moderate,Millets requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Maize,High,36,Sunny,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,16,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Medium,100,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,26,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,31,Windy,None,Millets requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,High,109,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,49,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,80,Cloudy,Severe,Maize requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,26,Cloudy,Mild,Cotton requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,58,Cloudy,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,76,Sunny,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,35,Rainy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,73,Windy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,84,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,29,Windy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,High,4,Rainy,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,118,Sunny,Moderate,Rice requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,118,Rainy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,13,Windy,Severe,Wheat requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Maize,Low,117,Cloudy,Severe,Maize requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,56,Windy,Mild,Cotton requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Low,33,Rainy,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,31,Windy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,28,Cloudy,None,Groundnut requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,1,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,69,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,10,Sunny,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,116,Rainy,Moderate,Maize requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,87,Rainy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,120,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Medium,97,Rainy,Mild,Millets requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,33,Windy,Mild,Cotton requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,45,Windy,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,52,Rainy,Mild,Sugarcane requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,105,Sunny,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,118,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Wheat,Low,13,Cloudy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,112,Sunny,Severe,Groundnut requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,111,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Rice,Medium,54,Rainy,None,Rice requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,65,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,High,94,Rainy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,7,Cloudy,None,Sugarcane requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,92,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,104,Rainy,Moderate,Barley requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,100,Windy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
